name,latitude,longitude,district,pedestrian_traffic_estimate,metro_passenger_flow,distance_to_metro,public_transport_stops_count,cafes_300m,cafes_1km,average_competitor_rating,population_density,median_income,office_density,average_rent_m2,available_commercial_spaces,rating
Новый Баку,55.659091,37.7354129,Moscow,983,62000,10098.1255641675,85,0,15,,6037,128905,29,2400,5,4.4
Борго,55.7920762,37.6809832,Moscow,1183,94000,2415.559936401241,85,7,23,,10648,94646,17,2400,1,3.8
Культ вкуса,55.7906726,37.61317,Moscow,423,54000,1473.9075108718037,85,3,36,,14157,79108,43,1900,14,4.5
Pinzeria by Bontempi,55.7460979,37.6020454,Moscow,676,89000,1494.0384947087389,85,11,101,,13432,65203,44,3500,5,4.5
Шоколадница,55.8016777,37.5315134,Moscow,350,71000,4277.500249180308,85,11,55,,9927,117084,28,2300,9,4.2
Ришон,55.7892894,37.6070165,Moscow,312,54000,1186.3455803171603,85,3,80,,7211,108528,19,1800,1,4.2
Шоколадница,55.8399982,37.491461,Moscow,215,71000,9083.415394532984,85,11,23,,9272,67235,48,1700,4,4.1
Мерлин,55.8602767,37.4835643,Moscow,1326,71000,11185.414557097145,85,3,21,,9979,103950,31,2100,8,4.2
Папа Джонс,55.8602707,37.4834232,Moscow,1281,71000,11189.809585049274,85,3,21,,5890,86039,11,2000,11,4.6
Unknown,55.7894729,37.7525922,Moscow,1315,94000,6283.500111504011,85,4,16,,5260,97008,37,2100,14,4.1
СушиWok,55.7493485,37.7847752,Moscow,255,68000,7978.572101990145,85,2,16,,13941,91763,37,2000,11,4.5
Кофе Хауз,55.84506,37.6603087,Moscow,626,94000,7686.282548370833,85,7,14,,7968,88783,37,1700,9,3.9
Шоколадница,55.8453804,37.6603943,Moscow,1199,94000,7722.1079129348445,85,7,14,,7280,125808,12,1800,10,4.7
Ла Гатта,55.8800501,37.6949946,Moscow,517,94000,11836.415983118995,85,0,7,,8204,73913,15,1800,14,4.6
Кофе Хауз,55.7447606,37.5675998,Moscow,1154,79000,183.38823524236614,85,16,42,,11486,126487,45,2100,14,3.9
Чихо,55.7411321,37.609552,Moscow,540,89000,1809.986586005772,85,14,87,,13802,69459,22,2000,14,4.3
Соло,55.7081927,37.6402786,Moscow,281,62000,2544.3553268364317,85,1,37,,6332,115263,39,1800,1,4.6
Open Food,55.7284819,37.6435708,Moscow,250,62000,497.661823351412,85,15,93,,5099,105022,11,1800,1,3.8
Кругозор,55.7824018,37.5987009,Moscow,220,54000,430.8618711552747,85,43,171,,14789,127305,14,1800,4,4.4
Unknown,55.4964783,37.5024949,Moscow,867,62000,27411.5105929834,85,0,0,,7324,85197,31,1700,5,3.6
Встреча,55.6665524,37.6287899,Moscow,1311,62000,7184.689574859889,85,2,11,,8184,63014,20,2300,1,4.6
Prime,55.7105374,37.4439382,Moscow,990,79000,8444.535717403862,85,2,8,,11466,74933,32,2000,13,3.5
Prime,55.770295,37.6207364,Moscow,818,77000,1093.79056478438,85,25,138,,13422,104314,24,3500,11,3.8
Sixties,55.7445196,37.6304381,Moscow,864,85000,1176.3442674284574,85,19,90,,6839,89316,44,3500,6,4.6
Шыкыдым,55.7445332,37.6299123,Moscow,804,85000,1179.787040693141,85,19,87,,10571,97903,44,2300,9,4.5
Шоколадница,55.6801746,37.6235993,Moscow,1264,62000,5713.55010610782,85,1,16,,13008,67434,44,2000,11,4.3
Home Cafe,55.6970057,37.4620321,Moscow,626,79000,8300.119816265615,85,0,3,,8483,63224,38,2100,9,3.5
Шоколадница,55.6772151,37.89563,Moscow,381,62000,17272.779704608463,85,1,12,,7088,106331,43,2300,11,3.7
Unknown,55.6777051,37.9015617,Moscow,876,62000,17603.394101265236,85,0,9,,14947,120988,40,1900,14,4.6
Жаровня Офис.,55.7237844,37.6539997,Moscow,1222,62000,1332.9871184505917,85,8,40,,9288,114665,29,1900,0,4.6
David B Café,55.7640119,37.598511,Moscow,459,72000,468.50309464344997,85,12,139,,8381,88508,34,1900,1,4.0
Убежище,55.7611409,37.6375512,Moscow,873,85000,739.8341041375702,85,24,218,,7164,124827,32,2400,5,4.6
Pho City,55.7715675,37.6823101,Moscow,1292,94000,1777.7418992619264,85,26,87,,9001,79400,27,1900,8,4.4
Чак-чак,55.7570743,37.7508749,Moscow,785,68000,5811.165951592519,85,7,18,,7767,118150,21,2000,14,3.8
Лабиринт,55.7334327,37.861765,Moscow,1145,68000,13019.839668532213,85,0,6,,7356,107325,39,2300,0,4.2
Кафе,55.5316699,37.4469201,Moscow,1266,79000,24745.766097790587,85,1,3,,8535,92398,31,2300,6,4.0
Столовая,55.5249677,37.446483,Moscow,1009,79000,25465.975335711355,85,1,3,,5838,117976,20,1700,11,4.6
Южный дворик,55.5233572,37.4487392,Moscow,405,79000,25596.609185087047,85,1,2,,5302,67373,28,1700,7,3.7
Unknown,55.8896746,37.411895,Moscow,1032,71000,16506.97372542485,85,1,7,,11165,95276,43,2000,12,4.4
Меркалето,55.7685594,37.6593988,Moscow,869,94000,871.901907468535,85,9,114,,11574,78094,31,2000,12,3.7
Котиссимо,55.770043,37.665554,Moscow,892,94000,935.1351290326904,85,8,117,,9158,70512,39,1800,8,4.1
Мистер Хинкали,55.6549228,37.5216936,Moscow,774,79000,10269.940889002892,85,1,19,,9807,103038,47,2400,1,3.7
Чихо,55.7635527,37.6336686,Moscow,412,85000,951.9364169418666,85,38,209,,10197,101098,16,2000,10,4.3
Unknown,55.808587,37.5116921,Moscow,467,71000,5724.33448419191,85,5,52,,8643,73176,34,2000,4,3.9
Unknown,55.7071673,37.8539574,Moscow,806,68000,13462.125514404639,85,0,3,,9885,78634,35,1800,3,4.1
Ку-Ка,55.7386027,37.5817676,Moscow,1491,79000,1209.0392477702544,85,4,60,,11516,126683,25,3500,13,3.8
Подоконник,55.6988993,37.6242424,Moscow,1443,62000,3657.7901395440017,85,11,40,,8464,82413,37,2400,12,4.3
Com 1989,55.806687,37.5885953,Moscow,554,54000,3190.655849639065,85,28,67,,11330,77547,40,2100,1,4.7
Mangal,55.760582,37.7727852,Moscow,711,68000,7192.79537459111,85,1,6,,5630,112691,36,2000,3,4.7
Unknown,55.8891657,37.3626509,Moscow,962,71000,18617.86277994291,85,2,2,,13627,124015,36,2400,3,3.8
Скворец,55.7594176,37.5975208,Moscow,636,72000,735.5525327241978,85,14,143,,5174,111708,44,2300,11,4.1
Unknown,55.5897627,37.9005669,Moscow,1199,62000,22802.502362056846,85,0,1,,7780,104031,21,1800,3,4.6
Блины,55.7392107,37.6559545,Moscow,1330,62000,1497.2223408793946,85,24,102,,11717,65087,14,1950,7,4.3
Спешиlove,55.7490787,37.6552163,Moscow,1335,68000,897.8678608871073,85,10,102,,7031,107818,30,2000,10,3.8
Восточное,55.7552575,37.711964,Moscow,727,68000,3382.147827694581,85,6,48,,10711,99298,31,1700,2,3.8
Восточное,55.7554718,37.712007,Moscow,716,68000,3383.5442971235734,85,6,47,,11076,106422,31,3500,6,4.3
Unknown,55.7545134,37.7092201,Moscow,1310,68000,3216.839606004637,85,7,48,,8462,69441,28,2400,8,3.6
"Гриль,Аж",55.7946343,37.6716067,Moscow,712,94000,2317.641961040186,85,1,22,,13585,118308,40,1800,6,4.8
Дринкит,55.7347863,37.5887768,Moscow,595,79000,1806.9074503387521,85,16,58,,7832,74542,34,2100,3,4.1
Кофепровод,55.7586973,37.6542127,Moscow,931,68000,302.9391207167693,85,14,147,,7648,64407,22,2400,5,4.0
Шоколадница,55.7371909,37.6188273,Moscow,1025,62000,1329.7820147724667,85,9,130,,5839,114148,43,2100,2,3.7
Циники,55.7625654,37.5995868,Moscow,417,72000,431.7576668154864,85,14,142,,11995,85129,31,2400,2,3.6
Мацони,55.7333565,37.6344606,Moscow,396,62000,306.4935157266811,85,13,139,,9262,62734,10,1700,11,4.3
Рондо,55.8311078,37.5929371,Moscow,420,54000,5821.737768955811,85,0,4,,12939,111861,19,1950,5,3.9
Барбос,55.7128676,37.576856,Moscow,221,79000,3540.470473674102,85,0,14,,12582,114631,27,3500,11,3.7
Upside Down Cake Co.,55.7774907,37.6329172,Moscow,1487,94000,1390.9293640423655,85,15,74,,6665,104211,38,1900,8,3.8
Кулинарная лавка братьев Караваевых,55.7254091,37.5631091,Moscow,862,79000,2070.600583027126,85,7,40,,9685,71929,41,3500,1,4.8
Шоколадница,55.6337872,37.4403714,Moscow,1480,79000,14533.015447316508,85,1,16,,6986,118380,11,3500,8,3.6
Кулинарная лавка братьев Караваевых,55.7507877,37.5993445,Moscow,1368,89000,1250.3532497647495,85,18,117,,5235,73464,15,1800,1,4.7
Бистро,55.7435204,37.6296229,Moscow,772,85000,1293.8513701787706,85,25,98,,5396,128764,11,1800,8,4.0
Папа Джонс,55.7340974,37.4191922,Moscow,859,79000,9193.544381755957,85,2,11,,12654,105774,22,1950,6,3.7
ЧаЕ,55.794188,37.665579,Moscow,714,94000,2127.832409619436,85,1,17,,6900,122214,16,2300,0,4.7
Дубки,55.8004491,37.6795551,Moscow,924,94000,3122.1216213932494,85,0,8,,11507,121677,19,1800,1,4.4
Монастырская выпечка,55.765033,37.623916,Moscow,1132,89000,1021.3383487415883,85,11,197,,8829,117043,42,2400,4,4.5
Tabera,55.7707098,37.6284925,Moscow,540,77000,1543.5787898159217,85,21,145,,6972,101834,14,1950,6,4.4
Листок,55.753142,37.50285,Moscow,1141,79000,4020.1987197216467,85,0,20,,6908,110552,39,1800,4,4.4
Полуостров,55.8092837,37.4034535,Moscow,876,71000,11843.429817457558,85,5,12,,12435,65829,10,1700,3,4.3
Unknown,55.7466402,37.7126693,Moscow,880,68000,3609.840489380378,85,0,41,,5442,123014,34,2000,8,3.7
Шоколадница,55.6983018,37.8500057,Moscow,1355,68000,13680.22463107445,85,2,6,,6243,83837,42,2300,5,4.6
Либерто,55.780848,37.607984,Moscow,253,54000,426.9067118276076,85,6,172,,14963,116568,31,2000,12,4.3
Coffee and the City,55.7904907,37.5479462,Moscow,1049,71000,2707.8234039023805,85,1,21,,8884,121473,16,3500,11,4.7
Point 242,55.7079762,37.6811645,Moscow,1341,62000,3768.9709684951263,85,0,24,,14730,97747,24,1900,1,3.9
Даблби,55.7409045,37.6228048,Moscow,1188,62000,1415.1548334523989,85,16,130,,14025,88830,11,1900,10,4.1
Дринкит,55.7739559,37.5848392,Moscow,558,71000,342.5331938194267,85,25,177,,10754,81854,24,2400,4,4.8
Veranda,55.713959,37.549639,Moscow,1290,79000,3476.1222071765683,85,2,16,,14327,122042,24,2100,2,4.4
Волконский,55.7526007,37.6057766,Moscow,209,89000,805.3129053184127,85,11,124,,14902,125713,27,1700,1,4.3
Блюм,55.7533533,37.6050733,Moscow,620,89000,794.9151967971736,85,11,124,,5739,115257,47,2000,8,3.7
Checkpoint,55.763526,37.6345716,Moscow,937,85000,953.1335178212597,85,33,214,,13725,70057,45,1800,1,4.3
Зеленая дверь,55.7655452,37.632091,Moscow,569,85000,1173.9510912169344,85,18,210,,11090,85283,10,3500,2,4.5
Бамбук и капуста,55.750815,37.5970965,Moscow,736,89000,1368.2828629884987,85,26,123,,7264,60427,26,1700,0,3.9
Il Pittore,55.6813181,37.5157902,Moscow,1388,79000,7621.137122060666,85,3,13,,9811,92605,43,1900,10,3.6
Тбилисская шаурма,55.6754611,37.4704859,Moscow,1280,79000,9650.871763558485,85,2,5,,12387,106622,48,1700,7,4.7
Ош Сити,55.7723655,37.5808887,Moscow,872,71000,550.846068972616,85,8,109,,5836,106216,21,1800,9,3.9
Дрозд,55.7704613,37.5839049,Moscow,760,71000,727.0945947450684,85,10,126,,10762,123749,21,1900,2,4.3
Чебуречная на Тишинке,55.7697155,37.5846766,Moscow,797,71000,811.104077817968,85,9,127,,13171,89269,20,2100,9,3.7
Daily Food,55.7460564,37.6639628,Moscow,539,68000,1272.798339978573,85,3,101,,5169,81937,47,2300,14,3.6
Шоколадница,55.8355333,37.4904487,Moscow,916,71000,8748.64076384621,85,0,20,,11561,128644,28,2000,14,4.1
Unknown,55.8536571,37.4055616,Moscow,834,71000,14033.449513257829,85,0,1,,10345,80124,15,1800,2,4.8
Каfема,55.8136628,37.57678,Moscow,1036,71000,4101.62225104922,85,2,39,,8060,111158,17,1950,5,4.3
Главпирог,55.7685553,37.684233,Moscow,573,94000,2007.0558847467646,85,7,69,,13054,76743,31,1900,0,3.6
Сити кафе,55.7956486,37.5617738,Moscow,877,71000,2496.2069828999297,85,6,29,,11293,107692,41,2000,11,4.3
Кулинарная лавка братьев Караваевых,55.7589016,37.5528728,Moscow,201,79000,1822.505623960925,85,7,63,,6952,117607,33,2400,0,4.0
Pizza? Si!,55.7899938,37.6341837,Moscow,667,94000,2028.6526860002396,85,6,20,,8932,91294,38,1800,11,4.2
Триумф,55.7262178,37.5817509,Moscow,1101,79000,2238.174726318521,85,10,43,,6623,98256,36,2300,6,3.8
Unknown,55.6901773,37.6146267,Moscow,1277,62000,4750.726619796547,85,1,23,,10041,60428,15,3500,8,4.3
Unknown,55.633726,37.480893,Moscow,1449,79000,13347.12348247747,85,1,3,,12979,87746,35,2000,1,3.5
Yugen,55.7861173,37.6135981,Moscow,533,54000,1073.4353607019852,85,5,57,,12624,90767,12,2300,0,4.6
Unknown,55.5577566,37.4347968,Moscow,355,79000,22262.236727591728,85,0,1,,5196,99267,16,2400,0,4.2
De Villagio,55.6667331,37.5524238,Moscow,395,79000,8627.741679577388,85,1,20,,6108,125313,14,2100,0,4.0
Культурный код,55.775971,37.5956266,Moscow,425,54000,521.8247284047277,85,7,255,,11883,110881,18,1800,3,4.5
Караван-Л,55.7757604,37.5800935,Moscow,701,71000,280.5089585746261,85,12,152,,8268,117165,43,2100,4,3.6
Уголок вкуса,55.7860784,37.6345898,Moscow,511,94000,1698.4619844897886,85,8,39,,11347,95195,40,2400,12,4.3
Брусника,55.783615,37.6341245,Moscow,872,94000,1555.9839256323316,85,8,48,,5432,115068,19,2300,14,3.8
Манас,55.7469341,37.6790083,Moscow,578,68000,1726.5860456161586,85,13,41,,10789,101927,27,3500,1,4.8
Шоколадница,55.7805505,37.6000918,Moscow,404,54000,209.67384633047433,85,49,185,,14887,79852,18,1950,3,3.6
Наша чайная,55.6483809,37.6630974,Moscow,930,62000,9331.31007026654,85,0,8,,8797,126010,24,1800,5,4.1
Мангал House,55.748881,37.7713669,Moscow,887,68000,7151.298148034891,85,5,14,,5067,77289,19,1700,0,3.9
Фрэш Кофе,55.7489053,37.7714919,Moscow,851,68000,7158.71524303832,85,6,14,,9848,103763,49,1900,6,3.8
Чайхана Пиала,55.749593,37.7750773,Moscow,456,68000,7372.351519192477,85,9,15,,8552,103533,11,2400,3,4.0
Правда Кофе,55.7867522,37.5805035,Moscow,486,71000,1106.216295909775,85,7,68,,10042,76947,16,2300,3,4.7
СтарХит,55.7223237,37.6516555,Moscow,1472,62000,1331.5200943676791,85,12,44,,11493,64374,47,1900,11,3.9
Hanoi,55.7545805,37.6557095,Moscow,332,68000,304.8298509783176,85,5,138,,8437,94230,22,1700,5,3.8
Пляж,55.7243673,37.5932896,Moscow,1337,79000,2811.1508210497927,85,1,38,,9641,108109,48,2300,0,4.0
Шоколадница,55.7948545,37.7998974,Moscow,1499,94000,9299.013291508687,85,6,28,,8591,99037,32,2100,8,4.4
Волконский,55.7925104,37.6045936,Moscow,1365,54000,1511.0146828814766,85,3,63,,14681,83977,44,2000,3,4.4
Unknown,55.8158105,37.797436,Moscow,520,94000,9943.070516868122,85,0,15,,11215,79789,47,1950,12,3.6
Касабланка,55.7177472,37.8577199,Moscow,1481,68000,13242.68595638284,85,1,3,,11183,84967,27,2000,10,4.6
Поварская лавка,55.7613627,37.6834651,Moscow,1465,68000,1665.473450286701,85,4,29,,7338,76301,21,1950,13,4.5
Арарат,55.886007,37.6845886,Moscow,1143,94000,12371.002970131412,85,0,5,,5540,72689,12,2400,12,4.6
14,55.89597,37.7170336,Moscow,325,94000,13891.06028596693,85,0,4,,14368,82429,44,1700,4,4.5
На воде & на суше,55.9084474,37.7460014,Moscow,1342,94000,15785.369351265002,85,1,2,,12791,71169,45,2100,1,4.4
МотоМосква,55.7226779,37.6906544,Moscow,331,62000,3484.85084509844,85,4,14,,6224,120182,29,1900,11,3.9
Шоколадница,55.8476071,37.3602635,Moscow,835,71000,16033.11991063311,85,9,20,,5655,72647,38,3500,13,3.6
Crop,55.7342808,37.6070436,Moscow,494,62000,1910.6869876544795,85,4,69,,14470,61094,16,1700,5,3.6
Православная трапеза,55.7438987,37.6061744,Moscow,875,89000,1581.2493575057827,85,3,83,,9122,65057,44,2300,11,4.5
Чайхана,55.7171382,37.7915483,Moscow,1094,68000,9462.666949738237,85,7,14,,6865,83487,14,2300,6,4.0
Шоколадница,55.8545743,37.477394,Moscow,200,71000,10897.91825613634,85,5,12,,8936,109666,23,3500,12,4.5
Волконский,55.7390127,37.5765786,Moscow,244,79000,912.5868358750434,85,4,69,,10025,107714,38,2000,12,3.5
Брусника,55.7711999,37.6011558,Moscow,1470,77000,753.0515099220482,85,12,165,,5050,97185,32,2300,2,4.6
Burger Heroes,55.7416406,37.6252731,Moscow,801,62000,1392.4355690090993,85,21,121,,5124,127698,23,1950,2,4.8
Буфет № 11,55.751813,37.6016615,Moscow,349,89000,1066.6113994702657,85,19,117,,14339,64284,17,1700,2,4.1
Воронеж,55.7445453,37.6009803,Moscow,298,89000,1673.7427841777176,85,9,97,,9235,86252,47,1900,1,3.5
Pasta time,55.7080252,37.6552893,Moscow,1201,62000,2799.7267442080715,85,25,40,,7772,85244,18,1700,12,3.8
Prime,55.7090968,37.6538914,Moscow,1252,62000,2655.35651599557,85,21,42,,11404,61877,42,1800,2,4.2
Столовая,55.684588,37.8889113,Moscow,995,68000,16551.933457447758,85,2,13,,11155,60798,42,2300,14,4.0
Столовая,55.6850791,37.8879855,Moscow,390,68000,16474.64341000759,85,2,12,,14134,74908,11,3500,12,4.1
Кочерга,55.7456329,37.5606193,Moscow,1366,79000,328.85450202155556,85,2,33,,9216,125041,20,1800,0,4.2
Pero,55.7394836,37.7723613,Moscow,1179,68000,7417.464719964677,85,0,9,,5363,76065,49,1800,9,4.5
Хинкальная,55.8843868,37.6715805,Moscow,201,94000,12096.464135370921,85,0,8,,9502,97121,27,2100,0,4.3
Восточное,55.8311475,37.6249618,Moscow,659,54000,5973.449633984331,85,1,30,,7378,123259,41,3500,0,4.3
Белый лист,55.7302813,37.6262951,Moscow,263,62000,675.003755610532,85,17,118,,7035,123886,27,2100,2,3.5
Арена,55.7637793,37.4344909,Moscow,274,79000,8457.554015267666,85,1,3,,7261,103443,20,1900,11,3.9
Гурман,55.8378109,37.6191888,Moscow,997,54000,6627.093493642502,85,4,26,,8616,62768,38,1800,5,3.7
Арлекин,55.8305383,37.6278893,Moscow,1204,54000,5954.800817560709,85,3,31,,10915,118923,10,2300,8,4.2
Гюльчатай,55.8286486,37.6302303,Moscow,1190,54000,5795.7206730388625,85,2,26,,5293,118659,39,1950,4,3.8
Арцец,55.8284067,37.6265568,Moscow,1445,54000,5704.102086749675,85,4,26,,14952,113544,36,3500,9,3.5
Ласточка,55.8340803,37.6295271,Moscow,1053,54000,6361.63068244237,85,6,33,,10202,121448,46,2000,13,4.0
Штолле,55.800845,37.5327245,Moscow,282,71000,4160.1063001669545,85,14,53,,12263,73174,45,2100,3,3.9
Unknown,55.7563064,37.5525398,Moscow,1277,79000,1574.987020205416,85,11,51,,12115,126801,11,1900,1,4.5
Кофе с собой,55.7907873,37.5526479,Moscow,861,71000,2488.628090857416,85,2,31,,14681,71392,24,2400,12,4.5
Cultura Coffee,55.7231294,37.5609162,Moscow,1436,79000,2334.746502403657,85,8,34,,14025,125196,47,1950,14,4.7
Баранка,55.5730211,37.6182892,Moscow,652,62000,17605.63071855221,85,0,1,,9135,115769,49,3500,2,3.6
Хинкали Point,55.7546007,37.6376789,Moscow,1155,85000,296.12202529481664,85,24,159,,12273,129390,30,1950,6,3.8
Зерно,55.8137839,37.3908704,Moscow,1252,71000,12746.260624700919,85,1,21,,10912,79394,34,1700,6,3.5
Кафе для Вас,55.829369,37.6417897,Moscow,529,94000,5991.515997208211,85,0,18,,9736,66941,18,2000,11,4.3
Kathrin bakery,55.6436908,37.4806348,Moscow,794,79000,12343.580224631572,85,0,3,,8577,65901,23,1900,11,4.3
Азербайджанское кафе,55.70546,37.72873,Moscow,1151,62000,6408.809741139748,85,1,13,,10961,97381,16,1700,12,4.0
Шале,55.6703951,37.8952993,Moscow,693,62000,17531.95340455366,85,0,4,,12399,93040,21,2400,6,4.4
Borghetto,55.6890745,37.5832422,Moscow,1277,62000,5751.043638471405,85,1,20,,8368,104491,14,1800,3,4.4
Simit House,55.778788,37.6239072,Moscow,1285,54000,1370.1628355724188,85,3,79,,10188,123003,21,2100,12,4.6
LUSUN,55.6795516,37.5699103,Moscow,299,62000,7098.996940523431,85,7,33,,14636,73746,18,2400,2,4.4
Кофе Хауз,55.7198598,37.4196368,Moscow,1013,79000,9488.783424909185,85,1,7,,5879,77291,49,2300,12,4.4
Бон Архитект,55.722218,37.6334732,Moscow,555,62000,1001.1748091017266,85,6,73,,9022,80203,23,2400,11,4.4
Unknown,55.8442224,37.3782035,Moscow,1372,71000,14873.623460371064,85,0,11,,13104,100096,43,1800,8,3.9
Москофе,55.8663713,37.6813002,Moscow,1447,94000,10182.242771270565,85,0,9,,11618,73202,27,2000,2,4.2
Гранд Гриль,55.7766461,37.6568565,Moscow,913,94000,136.53352377937472,85,12,85,,14774,71257,34,1950,12,4.3
Cinnabon,55.8464792,37.6640372,Moscow,981,94000,7857.24600371978,85,7,13,,10808,128284,39,2300,2,3.6
Unknown,55.7126977,37.42597,Moscow,1119,79000,9375.509339307964,85,0,6,,11520,99362,10,2400,3,4.0
Небо,55.7525201,37.8169172,Moscow,732,68000,9956.459289706267,85,6,7,,5737,89487,20,2000,10,4.4
Лепим и варим,55.763307,37.6150576,Moscow,753,72000,571.851388853186,85,6,160,,12075,61637,28,1900,1,4.4
Skuratov Coffee,55.7551066,37.6014699,Moscow,722,89000,933.2265466835477,85,19,133,,11982,107285,20,2300,14,3.6
Кулинарная лавка братьев Караваевых,55.7508929,37.788657,Moscow,1141,68000,8203.977606695302,85,2,13,,8021,63988,28,1950,11,3.6
Стумари,55.7925227,37.6050527,Moscow,1190,54000,1515.7209842794184,85,3,60,,10642,92350,32,1950,10,3.6
Готика,55.8564687,37.4865016,Moscow,275,71000,10732.45543954272,85,0,14,,7594,90675,27,1900,0,4.3
Парос,55.7717657,37.6738912,Moscow,1082,94000,1271.86592401441,85,10,104,,8006,65388,31,2400,7,4.4
Jinju,55.7828956,37.6339219,Moscow,501,94000,1524.8887096855192,85,8,49,,5723,126914,41,1700,6,4.3
Хинкальная Гогиели,55.7494923,37.7189404,Moscow,1299,68000,3903.7055716028513,85,8,36,,10818,124084,48,1800,8,4.1
Крепость,55.8574268,37.4956772,Moscow,822,71000,10508.298243748053,85,1,9,,7532,90299,33,2300,11,4.0
Жили-Были,55.8539553,37.4754944,Moscow,1338,71000,10916.849405005625,85,5,10,,8838,71698,16,1950,8,3.5
Unknown,55.7043011,37.5955958,Moscow,1364,62000,3941.9156138586177,85,3,22,,11786,73331,21,1800,4,4.7
Coffeeshop Company,55.7817923,37.5984564,Moscow,523,54000,381.4520272183438,85,42,182,,6337,72031,13,1900,1,4.5
1000 и 1 ночь,55.8647366,37.5728544,Moscow,1039,54000,9705.757406974228,85,0,2,,6750,71693,10,3500,7,4.7
Upside Down Cake Co.,55.8223511,37.4980366,Moscow,1205,71000,7368.664624982299,85,14,22,,8906,100025,25,2300,3,3.7
Андерсон,55.6563462,37.5279127,Moscow,747,79000,10019.878379548143,85,2,20,,7673,83723,14,1950,1,4.8
Селфи,55.7156468,37.8812295,Moscow,1391,68000,14711.893546838543,85,0,6,,7376,77218,45,2400,9,3.6
TaAm hummus bar,55.8083544,37.5002335,Moscow,587,71000,6290.932725603976,85,6,42,,11111,95141,29,3500,13,3.7
Пит Брэд,55.7374743,37.6165436,Moscow,1469,62000,1469.1707067878508,85,11,118,,12671,99913,27,2300,12,4.6
Триумф,55.7472834,37.6076933,Moscow,595,89000,1198.9784647237266,85,6,95,,14517,125138,31,1800,0,4.0
В своей тарелке,55.8215629,37.3684076,Moscow,1259,71000,14357.150410355593,85,4,24,,10509,63836,15,1700,8,3.7
Чайхана,55.7451222,37.852976,Moscow,1256,68000,12272.741602604097,85,1,41,,7997,94607,20,2100,13,3.9
Штолле,55.687115,37.5720395,Moscow,935,79000,6340.672968083393,85,7,33,,8251,73297,26,3500,14,4.0
Даров,55.799748,37.5319952,Moscow,1099,71000,4119.370581291659,85,15,51,,13947,90270,29,2400,3,4.2
Хинкали-Гали,55.8285457,37.4459244,Moscow,875,71000,10359.291014801427,85,5,11,,7365,80414,36,1800,5,3.6
"Кафе ""Лагуна""",55.5751157,37.8176803,Moscow,485,62000,20710.83885469019,85,0,0,,14138,94491,18,2100,0,3.8
Unknown,55.6358129,37.673245,Moscow,1294,62000,10825.451882052188,85,0,2,,10090,119529,26,1800,10,4.1
Пекарня ДК,55.6655372,37.4720965,Moscow,477,79000,10488.123328468746,85,1,8,,8437,77220,13,2400,13,3.8
Don Giulio Pasticceria,55.7600771,37.6486509,Moscow,765,68000,677.6700733901541,85,32,198,,8532,108701,11,3500,3,4.7
Даблби,55.7471201,37.6074749,Moscow,841,89000,1221.2751554660658,85,6,94,,11213,117426,39,2400,2,3.7
Table,55.7810029,37.5917681,Moscow,1340,71000,658.8571344564507,85,57,210,,13688,91519,33,1800,7,3.6
Pho Bo,55.7222468,37.6518642,Moscow,984,62000,1346.7280769914703,85,11,40,,6531,99718,47,1800,4,4.6
Prime,55.7733772,37.6207755,Moscow,717,77000,1312.1978009415798,85,24,121,,5057,60834,49,2400,13,4.2
Cafetera,55.6351472,37.430864,Moscow,1099,79000,14737.285259688011,85,12,16,,5794,112396,31,2000,8,4.0
Стархит,55.6340526,37.4313201,Moscow,787,79000,14821.299007630516,85,12,16,,8265,90088,38,2400,14,4.3
Даблби,55.6340526,37.4320229,Moscow,1458,79000,14796.440598500547,85,12,16,,7103,103725,45,2100,8,4.0
Кафетериус,55.7229572,37.6928528,Moscow,422,62000,3609.9220901010176,85,2,11,,13545,101084,18,3500,7,4.7
Папа Вейдер,55.7592396,37.6324362,Moscow,766,85000,472.7400576374026,85,26,212,,11361,127329,28,1900,12,4.4
Unknown,55.6075222,37.5938562,Moscow,1054,62000,13994.136880861422,85,0,10,,7936,78744,32,1800,8,4.4
Чебуречная СССР,55.7705595,37.6322432,Moscow,913,94000,1546.5248319773968,85,15,151,,6638,61018,24,1950,7,3.7
Play Cafe,55.7442412,37.5086997,Moscow,746,79000,3523.9649882191206,85,9,41,,11532,75333,39,2100,8,4.4
Crosby Coffee Company,55.7673476,37.6088571,Moscow,276,77000,316.3630254073036,85,15,158,,12853,121031,30,1950,4,3.8
Питербургер,55.7714688,37.6795831,Moscow,903,94000,1617.9517794967428,85,29,88,,10761,86977,31,2100,3,3.7
Меркато,55.6600869,37.6507797,Moscow,992,62000,7932.322236912896,85,0,10,,14580,60360,37,1900,9,3.9
Кулинария,55.7384681,37.5803527,Moscow,489,79000,1141.008475740342,85,4,61,,13702,72683,32,1950,8,3.7
Prime,55.7408915,37.6289909,Moscow,543,62000,1208.7789641582037,85,23,120,,5273,89766,24,2000,10,4.1
Unknown,55.8130191,37.8348272,Moscow,345,94000,11970.909562218,85,0,9,,14849,127921,49,1700,4,4.1
Кофешоп 4.20,55.7788999,37.5984287,Moscow,1369,54000,223.60702974055246,85,28,217,,5121,76439,48,3500,14,4.6
Репаст Траттория,55.7464127,37.4930338,Moscow,1127,79000,4512.256208616062,85,4,33,,5188,81302,41,2000,7,3.8
